Country Name,Country Code,Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Slovak Republic,SVK,Europe & Central Asia,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393
Slovenia,SVN,Europe & Central Asia,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953
Sweden,SWE,Europe & Central Asia,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379
Seychelles,SYC,Sub-Saharan Africa,82500,82900,84600,85033,86956,87298,89770,87441,88303,89900
Chad,TCD,Sub-Saharan Africa,9710498,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465,13145788
Togo,TGO,Sub-Saharan Africa,5428552,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581,6928719
Thailand,THA,East Asia & Pacific,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422
Tonga,TON,East Asia & Pacific,100226,100858,101507,102169,102816,103416,103947,104392,104769,105139
Trinidad and Tobago,TTO,Latin America & Caribbean,1290535,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240
Tunisia,TUN,Middle East & North Africa,9932400,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500,10886500
Turkey,TUR,Europe & Central Asia,66973561,67860617,68704721,69515492,70344357,71261307,72310416,73199372,74099255,75010202
Tanzania,TZA,Sub-Saharan Africa,37935334,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457
Uganda,UGA,Sub-Saharan Africa,27114742,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620,36573387
Ukraine,UKR,Europe & Central Asia,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600
Uruguay,URY,Latin America & Caribbean,3324096,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753,3407969
United States,USA,North America,292805298,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531
Uzbekistan,UZB,Europe & Central Asia,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,108563,108749,108908,109049,109165,109255,109316,109341,109334,109327
"Venezuela, RB",VEN,Latin America & Caribbean,26314483,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238,30276045
Vietnam,VNM,East Asia & Pacific,81436400,82392100,83311200,84218500,85118700,86025000,86932500,87840000,88772900,89708900
Vanuatu,VUT,East Asia & Pacific,204144,209375,214635,219956,225335,230782,236299,241876,247498,253165
Samoa,WSM,East Asia & Pacific,178794,179928,181072,182238,183440,184700,186029,187434,188901,190390
"Yemen, Rep.",YEM,Middle East & North Africa,19931617,20504385,21093973,21701105,22322699,22954226,23591972,24234940,24882792,25533217
South Africa,ZAF,Sub-Saharan Africa,46727694,47349013,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,54314855,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861
Zambia,ZMB,Sub-Saharan Africa,11725635,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581,15246086
Zimbabwe,ZWE,Sub-Saharan Africa,12867828,12984418,13127942,13297798,13495462,13720997,13973897,14255592,14565482,14898092
