Country Name,Country Code,Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Poland,POL,Europe & Central Asia,1.23,1.24,1.27,1.31,1.39,1.4,1.38,1.3,1.3,1.3
Portugal,PRT,Europe & Central Asia,1.4,1.41,1.37,1.35,1.39,1.34,1.39,1.35,1.28,1.28
Paraguay,PRY,Latin America & Caribbean,3.346,3.266,3.191,3.123,3.063,3.012,2.968,2.931,2.897,2.864
Qatar,QAT,Middle East & North Africa,2.703,2.555,2.418,2.299,2.203,2.133,2.085,2.055,2.036,2.019
Romania,ROU,Europe & Central Asia,1.35,1.39,1.4,1.42,1.53,1.57,1.54,1.46,1.53,1.53
Russian Federation,RUS,Europe & Central Asia,1.33,1.29,1.3,1.41,1.49,1.54,1.57,1.58,1.7,1.7
Rwanda,RWA,Sub-Saharan Africa,5.463,5.365,5.267,5.167,5.062,4.954,4.841,4.728,4.616,4.508
Saudi Arabia,SAU,Middle East & North Africa,3.349,3.234,3.136,3.05,2.971,2.898,2.829,2.763,2.702,2.644
Senegal,SEN,Sub-Saharan Africa,5.285,5.229,5.181,5.14,5.107,5.078,5.05,5.019,4.981,4.934
Singapore,SGP,East Asia & Pacific,1.26,1.26,1.28,1.29,1.28,1.22,1.15,1.2,1.29,1.19
Solomon Islands,SLB,East Asia & Pacific,4.54,4.502,4.459,4.412,4.359,4.3,4.236,4.168,4.099,4.031
Sierra Leone,SLE,Sub-Saharan Africa,5.56,5.451,5.34,5.232,5.128,5.032,4.943,4.861,4.782,4.705
El Salvador,SLV,Latin America & Caribbean,2.496,2.433,2.386,2.35,2.319,2.291,2.263,2.236,2.209,2.184
Suriname,SUR,Latin America & Caribbean,2.562,2.518,2.478,2.441,2.406,2.374,2.345,2.318,2.292,2.268
Slovak Republic,SVK,Europe & Central Asia,1.25,1.27,1.25,1.27,1.34,1.44,1.43,1.45,1.34,1.34
Slovenia,SVN,Europe & Central Asia,1.25,1.26,1.31,1.38,1.53,1.53,1.57,1.56,1.58,1.58
Sweden,SWE,Europe & Central Asia,1.75,1.77,1.85,1.88,1.91,1.94,1.98,1.9,1.91,1.91
Seychelles,SYC,Sub-Saharan Africa,2,2.2,2.1,2.24,2.3,2.4,2.1,2.4,2.4,2.4
Chad,TCD,Sub-Saharan Africa,7.147,7.074,6.992,6.902,6.805,6.702,6.596,6.486,6.375,6.263
Togo,TGO,Sub-Saharan Africa,5.059,5.009,4.962,4.918,4.876,4.835,4.792,4.746,4.695,4.639
Thailand,THA,East Asia & Pacific,1.563,1.539,1.517,1.496,1.477,1.459,1.443,1.427,1.412,1.399
Tonga,TON,East Asia & Pacific,4.177,4.144,4.104,4.059,4.012,3.963,3.914,3.864,3.815,3.767
Trinidad and Tobago,TTO,Latin America & Caribbean,1.758,1.769,1.779,1.788,1.796,1.8,1.802,1.801,1.799,1.797
Tunisia,TUN,Middle East & North Africa,2.02,2.04,2.03,2.04,2.06,2.05,2.13,2.15,2.2,2.25
Turkey,TUR,Europe & Central Asia,2.27,2.234,2.202,2.173,2.147,2.123,2.101,2.08,2.06,2.041
Tanzania,TZA,Sub-Saharan Africa,5.651,5.638,5.616,5.585,5.543,5.49,5.428,5.359,5.287,5.214
Uganda,UGA,Sub-Saharan Africa,6.653,6.583,6.507,6.425,6.338,6.248,6.155,6.06,5.964,5.867
Ukraine,UKR,Europe & Central Asia,1.218,1.213,1.31,1.345,1.458,1.46,1.445,1.459,1.531,1.506
Uruguay,URY,Latin America & Caribbean,2.171,2.155,2.138,2.122,2.107,2.093,2.08,2.068,2.056,2.046
United States,USA,North America,2.0515,2.057,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8695
Uzbekistan,UZB,Europe & Central Asia,2.46,2.36,2.39,2.55,2.64,2.53,2.34,2.3,2.3,2.2
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,2.196,2.17,2.149,2.131,2.112,2.092,2.07,2.046,2.021,1.997
"Venezuela, RB",VEN,Latin America & Caribbean,2.664,2.629,2.595,2.562,2.531,2.501,2.472,2.444,2.417,2.39
Vietnam,VNM,East Asia & Pacific,1.902,1.897,1.889,1.877,1.862,1.843,1.82,1.794,1.768,1.743
Vanuatu,VUT,East Asia & Pacific,3.95,3.851,3.76,3.679,3.608,3.549,3.499,3.456,3.419,3.382
Samoa,WSM,East Asia & Pacific,4.456,4.46,4.46,4.45,4.426,4.389,4.338,4.277,4.212,4.147
"Yemen, Rep.",YEM,Middle East & North Africa,5.588,5.393,5.199,5.01,4.829,4.658,4.498,4.348,4.207,4.075
South Africa,ZAF,Sub-Saharan Africa,2.721,2.675,2.627,2.58,2.538,2.5,2.467,2.438,2.412,2.387
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,6.809,6.728,6.642,6.55,6.454,6.354,6.251,6.146,6.039,5.933
Zambia,ZMB,Sub-Saharan Africa,5.974,5.954,5.932,5.908,5.881,5.849,5.813,5.773,5.731,5.687
Zimbabwe,ZWE,Sub-Saharan Africa,3.987,3.969,3.941,3.903,3.853,3.792,3.721,3.643,3.564,3.486
