Country Name,Country Code,Region ,Indicator Name,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Kiribati,KIR,East Asia & Pacific,"Population, total",SP.POP.TOTL,88892,90545,92329,94257,96310,98437,100566,102648,104662,106620,108544
St. Kitts and Nevis,KNA,Latin America & Caribbean,"Population, total",SP.POP.TOTL,47681,48424,49139,49818,50465,51093,51717,52352,52998,53650,54301
"Korea, Rep.",KOR,East Asia & Pacific,"Population, total",SP.POP.TOTL,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669
Kosovo,KSV,Europe & Central Asia,"Population, total",SP.POP.TOTL,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1805200,1818117
Kuwait,KWT,Middle East & North Africa,"Population, total",SP.POP.TOTL,2095993,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689
Lao PDR,LAO,East Asia & Pacific,"Population, total",SP.POP.TOTL,5579003,5658894,5745012,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985
Lebanon,LBN,Middle East & North Africa,"Population, total",SP.POP.TOTL,3701464,3863271,3986865,4057041,4085426,4109389,4181742,4337156,4388637,4440728,4493438
Liberia,LBR,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,3124222,3184643,3269786,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692
Libya,LBY,Middle East & North Africa,"Population, total",SP.POP.TOTL,5609166,5703224,5801543,5907149,6017794,6123022,6208680,6265697,6288652,6283403,6265987
St. Lucia,LCA,Latin America & Caribbean,"Population, total",SP.POP.TOTL,161767,163462,165407,167656,170146,172729,175196,177397,179278,180890,182305
Liechtenstein,LIE,Europe & Central Asia,"Population, total",SP.POP.TOTL,34290,34569,34852,35141,35431,35721,36004,36276,36537,36791,37040
Sri Lanka,LKA,South Asia,"Population, total",SP.POP.TOTL,19173000,19435000,19644000,19858000,20039000,20246000,20450000,20653000,20869000,20328000,20483000
Lesotho,LSO,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1898778,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061
Lithuania,LTU,Europe & Central Asia,"Population, total",SP.POP.TOTL,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689
Luxembourg,LUX,Europe & Central Asia,"Population, total",SP.POP.TOTL,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360
Latvia,LVA,Europe & Central Asia,"Population, total",SP.POP.TOTL,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647
"Macao SAR, China",MAC,East Asia & Pacific,"Population, total",SP.POP.TOTL,450754,458579,468149,479728,493022,507274,521405,534626,546682,557763,568056
St. Martin (French part),MAF,Latin America & Caribbean,"Population, total",SP.POP.TOTL,27363,27514,27906,28414,28905,29376,29820,30235,30615,30959,31264
Morocco,MAR,Middle East & North Africa,"Population, total",SP.POP.TOTL,29812685,30093109,30385479,30691434,31011322,31350544,31714958,32107739,32531964,32984190,33452686
Monaco,MCO,Europe & Central Asia,"Population, total",SP.POP.TOTL,32960,33339,33808,34384,35046,35731,36351,36845,37189,37404,37528
Moldova,MDA,Europe & Central Asia,"Population, total",SP.POP.TOTL,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566
Madagascar,MDG,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,17245275,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557
Maldives,MDV,South Asia,"Population, total",SP.POP.TOTL,294996,299917,304968,310168,315515,321026,326713,332575,338618,344817,351111
Mexico,MEX,Latin America & Caribbean,"Population, total",SP.POP.TOTL,106888418,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109
Marshall Islands,MHL,East Asia & Pacific,"Population, total",SP.POP.TOTL,52115,52074,52058,52080,52136,52221,52321,52428,52541,52663,52786
"Macedonia, FYR",MKD,Europe & Central Asia,"Population, total",SP.POP.TOTL,2033974,2038444,2042894,2047330,2051427,2055266,2058920,2062443,2065888,2069270,2072543
Mali,MLI,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,12088867,12474857,12881384,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097
Malta,MLT,Middle East & North Africa,"Population, total",SP.POP.TOTL,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455,423374
Myanmar,MMR,East Asia & Pacific,"Population, total",SP.POP.TOTL,49151958,49582751,49984704,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829
Montenegro,MNE,Europe & Central Asia,"Population, total",SP.POP.TOTL,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207
Mongolia,MNG,East Asia & Pacific,"Population, total",SP.POP.TOTL,2469045,2496621,2526447,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174
Northern Mariana Islands,MNP,East Asia & Pacific,"Population, total",SP.POP.TOTL,67562,66143,64372,62235,59791,57343,55276,53860,53234,53314,53869
Mozambique,MOZ,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,19928496,20523159,21126676,21737860,22359637,22994867,23647815,24321457,25016921,25732928,26467180
Mauritania,MRT,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,2974686,3064882,3154087,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684
Mauritius,MUS,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653
Malawi,MWI,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,12090476,12407618,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126
Malaysia,MYS,East Asia & Pacific,"Population, total",SP.POP.TOTL,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372
Namibia,NAM,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1980531,2002745,2027026,2053915,2083174,2115703,2152357,2193643,2240161,2291645,2346592
New Caledonia,NCL,East Asia & Pacific,"Population, total",SP.POP.TOTL,224868,228297,231779,235314,238902,242546,246245,250000,254000,258000,262000
Niger,NER,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,12526725,12996012,13485436,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863
Nigeria,NGA,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,132581484,136033321,139611303,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517
Nicaragua,NIC,Latin America & Caribbean,"Population, total",SP.POP.TOTL,5240876,5309703,5379327,5450217,5522119,5594524,5666595,5737722,5807787,5877034,5945646
Netherlands,NLD,Europe & Central Asia,"Population, total",SP.POP.TOTL,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432
Norway,NOR,Europe & Central Asia,"Population, total",SP.POP.TOTL,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623
Nepal,NPL,South Asia,"Population, total",SP.POP.TOTL,24868900,25198130,25506847,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981
New Zealand,NZL,East Asia & Pacific,"Population, total",SP.POP.TOTL,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100
Oman,OMN,Middle East & North Africa,"Population, total",SP.POP.TOTL,2385075,2448194,2506891,2553376,2593750,2652281,2762073,2943747,3210003,3545192,3906912
Pakistan,PAK,South Asia,"Population, total",SP.POP.TOTL,147251530,150267989,153356383,156524189,159767672,163096985,166520983,170043918,173669648,177392252,181192646
Panama,PAN,Latin America & Caribbean,"Population, total",SP.POP.TOTL,3202511,3260611,3319301,3378600,3438398,3498679,3559401,3620506,3681979,3743761,3805683
Peru,PER,Latin America & Caribbean,"Population, total",SP.POP.TOTL,26937737,27273188,27610406,27949958,28292768,28642048,29001563,29373644,29759891,30158768,30565461
Philippines,PHL,East Asia & Pacific,"Population, total",SP.POP.TOTL,82971734,84596249,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676
Palau,PLW,East Asia & Pacific,"Population, total",SP.POP.TOTL,19700,19805,19907,20012,20118,20227,20344,20470,20606,20756,20919
Papua New Guinea,PNG,East Asia & Pacific,"Population, total",SP.POP.TOTL,5795571,5940048,6086905,6236158,6387470,6540267,6693799,6847517,7001172,7154870,7308864
Poland,POL,Europe & Central Asia,"Population, total",SP.POP.TOTL,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196
Puerto Rico,PRI,Latin America & Caribbean,"Population, total",SP.POP.TOTL,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721527,3686771,3642281,3595839
"Korea, Dem. Rep.",PRK,East Asia & Pacific,"Population, total",SP.POP.TOTL,23449173,23639296,23813324,23969897,24111945,24243829,24371806,24500506,24631359,24763353,24895705
