Country Name,Country Code,Region ,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Adjusted net national income per capita (current US$),1012.761938,923.3107881,994.0048457,1177.063978,1427.305143,1700.643804,2029.266646,2258.173653,2310.599898,2746.79929,2776.147739
Eritrea,ERI,Sub-Saharan Africa,Adjusted net national income per capita (current US$),283.7920344,349.4516071,338.8507579,365.5316429,382.8849578,386.2649312,521.1136953,587.9966245,606.1772089,0,0
Spain,ESP,Europe & Central Asia,Adjusted net national income per capita (current US$),18313.34008,21086.52013,22186.71756,23670.96341,26876.46607,29024.29303,26397.45391,25097.78781,25696.5583,23291.93435,23746.4106
Estonia,EST,Europe & Central Asia,Adjusted net national income per capita (current US$),5881.500773,7260.135272,8609.488068,10333.65828,13299.43407,14508.7452,11730.98326,11363.22057,13769.5831,13933.11167,15517.39835
Ethiopia,ETH,Sub-Saharan Africa,Adjusted net national income per capita (current US$),72.80117946,92.86845034,117.1982998,143.8181908,176.1021687,244.7556646,287.2979486,259.0775625,263.2960687,350.8441096,373.9222547
Finland,FIN,Europe & Central Asia,Adjusted net national income per capita (current US$),26951.96123,31345.99306,32213.04534,34303.03406,39994.42696,43763.56603,38546.71448,37972.25819,41496.64912,38463.64398,40209.10777
Fiji,FJI,East Asia & Pacific,Adjusted net national income per capita (current US$),2550.425596,3030.045396,3383.699014,3267.444476,3638.616854,3736.864603,3067.434317,3221.781437,3701.906458,3856.430733,4203.783721
France,FRA,Europe & Central Asia,Adjusted net national income per capita (current US$),25352.61143,29059.46936,29815.19373,31241.34843,35595.57423,38654.2053,34915.31018,34311.51773,37180.50512,34367.52343,35808.93088
Faeroe Islands,FRO,Europe & Central Asia,Adjusted net national income per capita (current US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,Sub-Saharan Africa,Adjusted net national income per capita (current US$),3155.044528,3136.083375,3657.487194,3675.791444,4052.069577,4545.540781,4511.575448,4586.303198,5198.685467,5137.811569,5457.049791
United Kingdom,GBR,Europe & Central Asia,Adjusted net national income per capita (current US$),30111.60841,35340.99567,37197.95888,38764.43592,44086.21356,40623.67475,33142.25854,33896.39243,36364.55421,36083.52447,36538.23564
Georgia,GEO,Europe & Central Asia,Adjusted net national income per capita (current US$),898.2187851,1189.786164,1495.50982,1840.550157,2385.239219,2957.751708,2503.56777,2629.749165,3248.167037,3715.324807,3770.62996
Ghana,GHA,Sub-Saharan Africa,Adjusted net national income per capita (current US$),290.2201204,332.6016772,394.5406939,750.0742782,864.7932946,951.652213,826.4278455,979.1573751,1097.912407,1074.372276,1720.078371
Guinea,GIN,Sub-Saharan Africa,Adjusted net national income per capita (current US$),293.7642404,316.7956853,236.9684543,358.5854369,527.626678,533.7389432,482.3916257,482.9331043,453.9358318,509.1836497,564.5613293
"Gambia, The",GMB,Sub-Saharan Africa,Adjusted net national income per capita (current US$),249.5411538,299.9466638,310.227718,308.8933063,359.9451659,418.0622577,371.7559418,382.6464494,329.4699223,315.3486269,490.7854651
Guinea-Bissau,GNB,Sub-Saharan Africa,Adjusted net national income per capita (current US$),315.2995495,349.6902694,376.1632972,370.9884045,414.491352,494.954014,455.7860054,468.5635658,608.6364616,513.9147352,514.2014289
Equatorial Guinea,GNQ,Sub-Saharan Africa,Adjusted net national income per capita (current US$),0,0,-595.5183861,3031.626487,4437.014481,5150.880601,4961.2419,2673.790315,4332.751404,4414.894443,5661.202535
Greece,GRC,Europe & Central Asia,Adjusted net national income per capita (current US$),15720.81018,18593.97523,19286.50032,20743.33504,23853.20836,26198.01014,24350.9624,21801.27771,20538.34572,18023.4111,17633.10925
Grenada,GRD,Latin America & Caribbean,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Greenland,GRL,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,Latin America & Caribbean,Adjusted net national income per capita (current US$),1554.755157,1654.287409,1825.735828,1956.539606,2131.973218,2391.625763,2241.605074,2371.279229,2663.58655,2783.444775,2919.333964
Guam,GUM,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,Latin America & Caribbean,Adjusted net national income per capita (current US$),904.4532378,968.3349283,1036.237775,1932.752038,2280.378466,2395.34208,2525.241874,2660.477005,2892.190453,3129.89846,3294.858972
"Hong Kong SAR, China",HKG,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Honduras,HND,Latin America & Caribbean,Adjusted net national income per capita (current US$),1028.88072,1070.120875,1154.037634,1253.964507,1416.266773,1548.25097,1589.141473,1670.712868,1824.719078,1851.56913,1800.404869
Croatia,HRV,Europe & Central Asia,Adjusted net national income per capita (current US$),6441.481239,7814.305827,8702.603844,9603.683708,11512.51624,13363.88733,11666.16853,11183.87985,11753.02288,10709.75988,11228.08565
Haiti,HTI,Latin America & Caribbean,Adjusted net national income per capita (current US$),320.5884251,375.6165911,447.747985,486.8191576,591.8022637,644.7178639,639.5411271,628.6312063,707.024054,731.853456,768.3036387
Hungary,HUN,Europe & Central Asia,Adjusted net national income per capita (current US$),6630.006248,8082.055847,8840.163432,8975.387308,10664.08347,12149.6318,10006.04094,10096.54244,10845.92469,9978.243936,10877.88343
Indonesia,IDN,East Asia & Pacific,Adjusted net national income per capita (current US$),783.6169648,820.3604085,882.4742693,1126.82583,1316.463291,1538.135336,1673.094186,2325.629811,2680.861714,2746.810324,2703.68793
Isle of Man,IMN,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
India,IND,South Asia,Adjusted net national income per capita (current US$),476.451466,547.820316,620.8600977,699.1362832,889.5676737,850.1403266,954.3754827,1172.804567,1258.540207,1248.822896,1249.209021
Ireland,IRL,Europe & Central Asia,Adjusted net national income per capita (current US$),30588.98264,35048.57372,37224.47968,39792.3285,44606.07975,44588.3435,36047.54943,33811.35879,34894.67632,32476.6804,35990.78919
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Adjusted net national income per capita (current US$),1782.728078,2140.327487,2485.094926,2883.58805,3843.037808,4294.777204,4545.706308,5355.085433,6281.140202,6168.139627,4691.415485
Iraq,IRQ,Middle East & North Africa,Adjusted net national income per capita (current US$),0,1015.547272,1400.68054,1837.013931,2506.986473,3807.607257,3225.643864,3721.645311,4693.543039,5317.2171,5476.731905
Iceland,ISL,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,32128.8055,32308.96488,39150.32601
Israel,ISR,Middle East & North Africa,Adjusted net national income per capita (current US$),15352.95042,16155.92582,17145.84787,18358.39854,21056.38446,24677.9329,22998.193,25867.4727,28698.98273,27322.64199,30818.04975
Italy,ITA,Europe & Central Asia,Adjusted net national income per capita (current US$),23047.83203,26419.50459,27098.2098,28289.98562,31684.7099,33639.29645,30490.16397,29459.5333,31385.78409,28361.44912,28810.48189
Jamaica,JAM,Latin America & Caribbean,Adjusted net national income per capita (current US$),2987.5296,3218.899999,3515.699595,3741.398481,4004.665473,4308.998784,3721.345107,4134.572385,4505.271714,4710.463786,4435.645304
Jordan,JOR,Middle East & North Africa,Adjusted net national income per capita (current US$),1699.986487,1881.715106,2014.263415,2350.5184,2564.679102,3121.014356,3208.522317,3288.661378,3394.042798,3436.534526,3550.908019
Japan,JPN,East Asia & Pacific,Adjusted net national income per capita (current US$),27583.76559,30064.30216,29744.04446,28347.04946,28260.14784,30961.03256,31702.71351,35086.7823,38081.33916,38612.86269,32488.22596
Kazakhstan,KAZ,Europe & Central Asia,Adjusted net national income per capita (current US$),1376.75446,1817.673688,2193.14529,2958.398559,4348.295304,5187.009841,4810.303986,5717.931578,7113.561886,7834.290256,9380.125613
Kenya,KEN,Sub-Saharan Africa,Adjusted net national income per capita (current US$),337.2049707,360.5969277,417.1916476,570.6553412,684.0427496,752.9533151,755.1327258,798.0552513,821.2286873,957.5812582,1018.389558
Kyrgyz Republic,KGZ,Europe & Central Asia,Adjusted net national income per capita (current US$),317.4164698,355.8262966,409.6568222,479.8139426,646.4041445,787.7705723,703.8104085,664.6806693,805.1514285,958.0330791,945.6230309
Cambodia,KHM,East Asia & Pacific,Adjusted net national income per capita (current US$),317.5253773,354.5281161,412.968377,466.987059,547.3864285,639.0729067,621.9837485,660.4069922,742.6516454,800.9583211,868.2249746
Kiribati,KIR,East Asia & Pacific,Adjusted net national income per capita (current US$),1434.895714,1606.960661,1622.675082,1531.126594,1836.208912,1958.885487,1695.332817,2077.419114,2253.920671,2539.370716,2695.298357
St. Kitts and Nevis,KNA,Latin America & Caribbean,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
"Korea, Rep.",KOR,East Asia & Pacific,Adjusted net national income per capita (current US$),11721.4744,13128.71893,15269.35658,17237.66181,19078.70741,16635.99486,14729.0967,18160.96605,19677.69496,19980.90589,20901.65801
Kosovo,KSV,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,Middle East & North Africa,Adjusted net national income per capita (current US$),19773.49901,24730.28055,31532.43067,39305.05883,42306.53975,48465.08232,34707.80669,34443.6355,41012.07519,43965.71007,42359.99253
Lao PDR,LAO,East Asia & Pacific,Adjusted net national income per capita (current US$),287.302572,337.4498561,388.0476816,436.3255063,540.8364593,647.5588786,707.2786232,780.0778387,943.8080286,1122.67949,1324.382694
Lebanon,LBN,Middle East & North Africa,Adjusted net national income per capita (current US$),3189.004087,3855.756391,3937.008104,3803.34314,4450.330431,5200.750121,6188.536904,6439.665358,6347.234371,6528.790625,6442.87683
Liberia,LBR,Sub-Saharan Africa,Adjusted net national income per capita (current US$),151.088173,208.5155339,219.9875301,254.4917517,282.5529212,331.2481114,304.6589684,325.9455466,381.1862626,358.7051443,396.596356
Libya,LBY,Middle East & North Africa,Adjusted net national income per capita (current US$),3542.917942,4047.125098,5526.462287,6249.453002,7849.317344,9841.674863,7735.877739,8716.151932,4828.790247,9361.972259,8316.837353
St. Lucia,LCA,Latin America & Caribbean,Adjusted net national income per capita (current US$),4004.668576,4195.49029,4455.749599,5574.567744,6177.384317,6087.36044,6077.523735,6631.366645,6945.484088,6817.66626,7073.569498
Liechtenstein,LIE,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,South Asia,Adjusted net national income per capita (current US$),922.3099969,994.6963862,1160.859814,1327.968071,1512.748501,1862.262123,1943.060536,2597.124533,2960.500031,3071.002141,3273.704381
Lesotho,LSO,Sub-Saharan Africa,Adjusted net national income per capita (current US$),754.2446645,963.0824257,1023.572531,1061.031123,1104.260945,1086.020489,1032.153135,1313.282046,1411.773396,1294.141351,1191.467259
Lithuania,LTU,Europe & Central Asia,Adjusted net national income per capita (current US$),4635.757275,5704.308915,6775.253891,7935.283237,10389.77609,12633.0777,10302.31777,0,0,0,0
Luxembourg,LUX,Europe & Central Asia,Adjusted net national income per capita (current US$),46951.51042,61681.49727,66272.29149,64410.23461,81768.3125,82487.46783,57108.00231,63004.25537,66255.24597,61116.20869,62617.19921
Latvia,LVA,Europe & Central Asia,Adjusted net national income per capita (current US$),3883.876989,4778.304962,5826.425416,7228.752789,10598.61957,12526.91312,10201.79908,8601.764483,10349.66472,10290.37398,11348.43025
"Macao SAR, China",MAC,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
St. Martin (French part),MAF,Latin America & Caribbean,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,Middle East & North Africa,Adjusted net national income per capita (current US$),1511.514088,1713.887255,1787.589495,1940.225048,2206.942637,2549.908952,2504.472762,2472.545213,2647.329811,2522.651988,2719.600336
Monaco,MCO,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Moldova,MDA,Europe & Central Asia,Adjusted net national income per capita (current US$),539.563551,722.1094545,832.9419429,954.5143375,1209.596562,1688.738254,1462.882531,1636.32958,1999.478252,2139.060122,2339.805454
Madagascar,MDG,Sub-Saharan Africa,Adjusted net national income per capita (current US$),294.5134461,225.9471502,253.3106273,269.0269927,350.4067885,435.7436843,386.2201228,381.7990089,419.6846231,402.0950526,414.8653258
Maldives,MDV,South Asia,Adjusted net national income per capita (current US$),3178.543434,3653.453438,3330.90061,4441.972088,4447.380565,5347.116555,5164.898206,5396.348598,5818.460657,5821.006629,6230.768202
Mexico,MEX,Latin America & Caribbean,Adjusted net national income per capita (current US$),5715.496006,6016.811884,6509.786696,7160.072908,7598.107805,7807.279588,6276.677695,7362.916552,7857.338853,7887.444894,8242.838989
Marshall Islands,MHL,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
"Macedonia, FYR",MKD,Europe & Central Asia,Adjusted net national income per capita (current US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mali,MLI,Sub-Saharan Africa,Adjusted net national income per capita (current US$),335.1171019,378.8810707,428.7470223,456.0143586,520.9779963,572.1681567,567.3957416,557.1644161,637.7802462,547.7241375,599.41677
Malta,MLT,Middle East & North Africa,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Myanmar,MMR,East Asia & Pacific,Adjusted net national income per capita (current US$),209.4471303,207.2835802,230.1263083,275.0467434,385.1153263,608.1530757,708.9496538,942.797632,1121.306389,1058.643804,1060.114754
Montenegro,MNE,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,4168.529726,5421.645068,6675.822886,5899.588123,5867.368608,6607.340241,5952.563453,6515.388888
Mongolia,MNG,East Asia & Pacific,Adjusted net national income per capita (current US$),547.4176657,654.1062582,816.6622302,1011.89893,1258.026724,1593.356272,1266.628158,1822.244692,2528.618435,3251.134578,3377.604207
Northern Mariana Islands,MNP,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,Sub-Saharan Africa,Adjusted net national income per capita (current US$),244.1003846,288.6191844,320.1942788,319.6285774,353.9588596,422.6060606,403.553502,356.2009993,446.863696,476.3812686,509.6509842
Mauritania,MRT,Sub-Saharan Africa,Adjusted net national income per capita (current US$),496.8409798,556.7046495,600.3645441,649.2113964,655.2758409,756.6254065,805.0539676,836.6354493,941.2993566,872.6993389,890.1994819
Mauritius,MUS,Sub-Saharan Africa,Adjusted net national income per capita (current US$),4122.580445,4691.813837,4579.346341,5160.861827,6056.170621,7242.371805,6410.556445,7072.219454,7964.253411,7889.099532,8124.283585
Malawi,MWI,Sub-Saharan Africa,Adjusted net national income per capita (current US$),217.0724575,235.3715425,239.4938458,246.7872531,258.7076989,307.5770553,314.4822107,357.9759066,406.5284787,280.6275882,245.2665231
Malaysia,MYS,East Asia & Pacific,Adjusted net national income per capita (current US$),3173.246234,3538.64081,4045.105476,4605.435989,5469.413966,6331.91413,5534.522995,6804.800261,7939.958454,8139.997209,8370.978434
Namibia,NAM,Sub-Saharan Africa,Adjusted net national income per capita (current US$),2440.591284,3109.603984,3246.675204,3525.09927,3703.726077,3609.665517,3704.448773,4509.129492,4907.791404,5041.945057,5005.24959
New Caledonia,NCL,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Niger,NER,Sub-Saharan Africa,Adjusted net national income per capita (current US$),182.8373621,204.2432445,223.2185879,229.63296,254.216429,306.1940925,291.5760907,303.7272482,322.7372857,326.2285235,337.501985
Nigeria,NGA,Sub-Saharan Africa,Adjusted net national income per capita (current US$),658.0909011,823.2810571,1007.938072,1377.788028,1557.692091,1811.942618,1565.484534,1823.661325,1918.604554,2144.181794,2344.155085
Nicaragua,NIC,Latin America & Caribbean,Adjusted net national income per capita (current US$),863.1266407,931.3577151,1019.213318,1061.035986,1156.003545,1302.601156,1249.945241,1274.915039,1400.953949,1482.426188,1521.634213
Netherlands,NLD,Europe & Central Asia,Adjusted net national income per capita (current US$),29731.29694,33786.47733,34460.35392,37844.04846,43369.92973,46346.51663,42737.00839,41980.65207,45274.35638,41839.51855,43399.31555
Norway,NOR,Europe & Central Asia,Adjusted net national income per capita (current US$),39174.07432,44765.90256,52451.97855,57480.23044,66164.31934,73176.00282,61977.22888,68568.62814,77242.73864,78447.11124,80857.49657
Nepal,NPL,South Asia,Adjusted net national income per capita (current US$),240.5107408,270.0772113,298.3062386,326.5678657,365.84388,440.6053282,449.9095304,550.7369591,649.6010923,651.2629646,666.9218486
New Zealand,NZL,East Asia & Pacific,Adjusted net national income per capita (current US$),17818.39839,20418.74173,21908.84453,20877.88141,25520.59929,23949.5498,22332.57954,26603.7569,30841.86092,32238.25036,34930.83289
