Country Name,Country Code,Indicator Name,Region ,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,ETH,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,54.60885366,55.56134146,56.57180488,57.61521951,58.65365854,59.65626829,60.60014634,61.46795122,62.25285366,62.96595122,63.61734146
Finland,FIN,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927,80.83170732
Fiji,FJI,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,68.14314634,68.31768293,68.49178049,68.666,68.84239024,69.021,69.20080488,69.38231707,69.56397561,69.74473171,69.923
France,FRA,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,81.96829268
Faeroe Islands,FRO,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.99512195,79.14390244,79.34146341,79.64146341,79.93902439,80.1902439,80.39268293,80.64390244,80.84634146,81.09756098,81.3
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,67.63514634,67.77602439,67.92487805,68.07619512,68.22397561,68.36573171,68.4984878,68.62173171,68.73797561,68.85021951,68.96097561
Gabon,GAB,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,59.48429268,59.68385366,60.00914634,60.4312439,60.90373171,61.38570732,61.85270732,62.2897561,62.69334146,63.07392683,63.441
United Kingdom,GBR,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,80.95609756
Georgia,GEO,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,72.47173171,72.7057561,72.91070732,73.08907317,73.24843902,73.39680488,73.53773171,73.67473171,73.80978049,73.94487805,74.0795122
Ghana,GHA,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,57.78665854,58.22485366,58.70453659,59.18670732,59.63785366,60.02995122,60.35102439,60.59956098,60.78858537,60.94712195,61.09863415
Guinea,GIN,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,51.74902439,52.19458537,52.74512195,53.34953659,53.94370732,54.47843902,54.93187805,55.298,55.59019512,55.84465854,56.09165854
"Gambia, The",GMB,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,56.14185366,56.45590244,56.76192683,57.05792683,57.34387805,57.61880488,57.88168293,58.1335122,58.37480488,58.60707317,58.83134146
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,51.96643902,52.16609756,52.38085366,52.60829268,52.84370732,53.08173171,53.32060976,53.55843902,53.79609756,54.03363415,54.27170732
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,48.19097561,48.48709756,48.86836585,49.32782927,49.84507317,50.39573171,50.96536585,51.53307317,52.08490244,52.61290244,53.11456098
Greece,GRC,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,80.63414634
Grenada,GRD,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,70.94114634,71.17646341,71.4067561,71.625,71.82868293,72.01480488,72.18336585,72.33687805,72.47636585,72.61034146,72.74134146
Greenland,GRL,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,68.38487805,68.75609756,69.17512195,69.46878049,69.94243902,70.18317073,70.44243902,70.83682927,71.00170732,,
Guatemala,GTM,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,69.01519512,69.33190244,69.60897561,69.86441463,70.11926829,70.38914634,70.68104878,70.99597561,71.32790244,71.66385366,71.99282927
Guam,GUM,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,76.13126829,76.44768293,76.74753659,77.03256098,77.30741463,77.57573171,77.83904878,78.10085366,78.36058537,78.61856098,78.87512195
Guyana,GUY,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,64.03570732,64.27331707,64.52917073,64.79126829,65.04721951,65.28719512,65.50560976,65.7024878,65.88007317,66.04626829,66.20790244
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,81.32926829,81.7804878,81.5804878,82.37560976,82.32682927,82.37560976,82.77560976,82.97804878,83.42195122,83.4804878,83.83170732
Honduras,HND,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,71.07746341,71.26790244,71.47331707,71.70268293,71.9565122,72.23434146,72.5342439,72.85031707,73.17319512,73.49343902,73.80304878
Croatia,HRV,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,74.61390244,75.5202439,75.24463415,75.83682927,75.70560976,75.91219512,76.16829268,76.47560976,76.77560976,76.92439024,77.12682927
Haiti,HTI,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,58.38192683,58.80712195,59.28378049,59.80182927,60.33721951,60.87041463,61.38492683,61.8667561,62.30597561,62.70265854,63.05885366
Hungary,HUN,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,72.3,72.64878049,72.64878049,73.09756098,73.15121951,73.70243902,73.90487805,74.20731707,74.85853659,75.06341463,75.26829268
Indonesia,IDN,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,68.23631707,68.55039024,68.85443902,69.14595122,69.42290244,69.68529268,69.93309756,70.16785366,70.39156098,70.6072439,70.81743902
Isle of Man,IMN,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,,,,,,,,,,,
India,IND,"Life expectancy at birth, total (years)",South Asia,SP.DYN.LE00.IN,63.34004878,63.72426829,64.09758537,64.45509756,64.79385366,65.11339024,65.41319512,65.6942439,65.9584878,66.21085366,66.4562439
Ireland,IRL,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.13902439,78.53902439,78.94390244,79.24146341,79.64146341,80.09512195,80.1902439,80.74390244,80.74634146,80.89512195,81.04390244
